hsa:645954;SVILP1;supervillin pseudogene 1
hsa:650226;;ankyrin repeat domain 26 pseudogene
hsa:6791;AURKAPS1,AurAps1,STK6P;aurora kinase A pseudogene 1
hsa:23574;PRG1;p53-responsive gene 1
hsa:145241;ADAM21P1,ADAM21P;ADAM metallopeptidase domain 21 pseudogene 1
hsa:100335030;;FGFR1 oncogene partner 2 pseudogene
hsa:8123;PAR5,D15S226E;Prader-Willi/Angelman syndrome-5
hsa:647859;;occludin pseudogene
hsa:401135;SYT14L,CHR415SYT,SYTDEP;synaptotagmin XIV-like
hsa:100101116;TTTY1B;testis-specific transcript, Y-linked 1B (non-protein coding)
hsa:100101117;TTTY2B;testis-specific transcript, Y-linked 2B (non-protein coding)
hsa:100101121;TTTY23B;testis-specific transcript, Y-linked 23B (non-protein coding)
hsa:492303;GEMIN8P4;gem (nuclear organelle) associated protein 8 pseudogene 4
hsa:442245;GSTM2P1;glutathione S-transferase mu 2 (muscle) pseudogene 1
hsa:93164;HTR7P1,HTR7P;5-hydroxytryptamine (serotonin) receptor 7 pseudogene 1
hsa:6458;SH3GL1P1,CNSA-P1,SH3GLP1;SH3-domain GRB2-like 1 pseudogene 1
hsa:400058;MKRN9P,MKRN5,MKRN9,MKRNP6,RNF65,ZNF127L3;makorin ring finger protein 9, pseudogene
hsa:6459;SH3GL1P2,CNSA-P2,SH3GLP2;SH3-domain GRB2-like 1 pseudogene 2
hsa:728402;TPI1P3;triosephosphate isomerase 1 pseudogene 3
hsa:3580;CXCR2P1,CXCR2P,IL8RBP;chemokine (C-X-C motif) receptor 2 pseudogene 1
hsa:286102;TMED10P1,TMED10P,Tmp21-II;transmembrane emp24-like trafficking protein 10 (yeast) pseudogene 1
hsa:9366;RAB9BP1,RAB9P1;RAB9B, member RAS oncogene family pseudogene 1
hsa:352887;GYG2P1,GYG2P;glycogenin 2 pseudogene 1
hsa:644511;RPL13AP6,RPL13A_7_1096,bA348N5.5;ribosomal protein L13a pseudogene 6
hsa:619190;FDPSL2A,FDPSP2,FPSL2,FDPSL2;MGC44478
hsa:100133144;UBE2Q2P3;ubiquitin-conjugating enzyme E2Q family member 2 pseudogene 3
hsa:56120;PCDHGB8P,PCDH-PSI3;protocadherin gamma subfamily B, 8 pseudogene
hsa:441502;RPS26P11,RPS26L1,RPS26_22_1784,bA366E13.1;ribosomal protein S26 pseudogene 11
hsa:149992;ANKRD30BP2,C21orf99,CT85,CTSP-1,CTSP1;ankyrin repeat domain 30B pseudogene 2
hsa:730152;GSTA7P,GSTAP2;glutathione S-transferase alpha 7, pseudogene
hsa:100379220;TMED11P;transmembrane emp24 protein transport domain containing 11, pseudogene
hsa:390705;;protein phosphatase 2, regulatory subunit B'', beta pseudogene
hsa:442132;;golgin A6 family-like 1 pseudogene
hsa:642236;;FSHD region gene 1 pseudogene
hsa:645339;SNRPD2P2;small nuclear ribonucleoprotein D2 pseudogene 2
hsa:728377;;Rho guanine nucleotide exchange factor (GEF) 5 pseudogene
hsa:100132352;;FSHD region gene 1 pseudogene
hsa:729970;;hCG2028352-like
hsa:100131635;;hCG1645011-like
hsa:168741;PER4;period homolog 3 (Drosophila) pseudogene
hsa:80316;PPP1R2P9,I-4;protein phosphatase 1, regulatory (inhibitor) subunit 2 pseudogene 9
hsa:441089;CRSP8P;mediator complex subunit 27 pseudogene
hsa:644145;;exocyst complex component 1 pseudogene
hsa:643486;;bromodomain, testis-specific pseudogene
hsa:643036;SLED1;proteoglycan 3 pseudogene
hsa:440888;ACTR3BP2,FKSG73;ARP3 actin-related protein 3 homolog B (yeast) pseudogene 2
hsa:388503;C3P1,CPLP;complement component 3 precursor pseudogene
hsa:645682;POU5F1P4,POU5FLC1;POU class 5 homeobox 1 pseudogene 4
hsa:642559;POU5F1P3,OTF3L,POU5F1L,POU5FLC12;POU class 5 homeobox 1 pseudogene 3
hsa:728024;;chromosome X open reading frame 56 pseudogene
hsa:55545;MSX2P1,HPX5,HSHPX5,MSX2P;msh homeobox 2 pseudogene 1
hsa:7151;TOP1P1;topoisomerase (DNA) I pseudogene 1
hsa:145165;ST13P4,FAM10A4,FAM10A4P;suppression of tumorigenicity 13 (colon carcinoma) (Hsp70 interacting protein) pseudogene 4
hsa:303;ANXA2P1,ANX2L1,ANX2P1,LPC2A;annexin A2 pseudogene 1
hsa:100133234;SBF1P1;SET binding factor 1 pseudogene 1
hsa:100288527;REXO1L2P;REX1, RNA exonuclease 1 homolog (S. cerevisiae)-like 2 (pseudogene)
hsa:253724;GNN;Grp94 neighboring nucleotidase pseudogene
hsa:100500773;;serine/arginine-rich splicing factor 3 pseudogene
hsa:100133315;;transient receptor potential cation channel, subfamily C, member 2-like
hsa:391037;SKINTL,SKINT1,SKINTP;Skint-like, pseudogene
hsa:100289017;MOXD2P,MOXD2;monooxygenase, DBH-like 2, pseudogene
hsa:344405;PRORSD1P,NCRNA00117,PRDXDD1P,Prdxdd1,Ybakd1;prolyl-tRNA synthetase associated domain containing 1, pseudogene
hsa:729522;AACSP1,AACSL;acetoacetyl-CoA synthetase pseudogene 1
hsa:246182;AKR7A2P1,AFARP1;aldo-keto reductase family 7, member A2 pseudogene 1
hsa:3453;IFNA22P,IFNAP22;interferon, alpha 22, pseudogene
hsa:2498;FTH1P3,FTHL3,FTHL3P;ferritin, heavy polypeptide 1 pseudogene 3
hsa:160313;KRT19P2;keratin 19 pseudogene 2
hsa:646214;;p21 protein (Cdc42/Rac)-activated kinase 2 pseudogene
hsa:494127;;NFYC pseudogene
hsa:220429;CTAGE10P;CTAGE family, member 10, pseudogene
hsa:286495;TTC3P1,RNF105L,TTC3L;tetratricopeptide repeat domain 3 pseudogene 1
hsa:664709;HNRNPA1P10,HNRPA1L-2;heterogeneous nuclear ribonucleoprotein A1 pseudogene 10
hsa:128102;HSD3BP4;hydroxy-delta-5-steroid dehydrogenase, 3 beta, pseudogene 4
hsa:5301;PIN1P1,PIN1L;peptidylprolyl cis/trans isomerase, NIMA-interacting 1 pseudogene 1
hsa:91353;IGLL3P,16.1,IGLL3;immunoglobulin lambda-like polypeptide 3, pseudogene
hsa:389834;;ankyrin repeat domain 57 pseudogene
hsa:100287846;;patched 1 pseudogene
hsa:644165;BCRP3,BCR3,BCRL3,BCRL6;breakpoint cluster region pseudogene 3
hsa:305;ANXA2P3,ANX2L3,ANX2P3,LIP2,LPC2C;annexin A2 pseudogene 3
hsa:246754;MTVR2;mouse mammary tumor virus receptor homolog 2
hsa:402176;RPL21P44,RPL21_17_477;ribosomal protein L21 pseudogene 44
hsa:646201;BASP1P1;brain abundant, membrane attached signal protein 1 pseudogene 1
hsa:728739;;programmed cell death 2 pseudogene
hsa:286016;TPI1P2;triosephosphate isomerase 1 pseudogene 2
hsa:100287632;;selenoprotein K pseudogene
hsa:1720;;dihydrofolate reductase pseudogene
hsa:100131257;;zinc finger protein 655 pseudogene
hsa:646278;;programmed cell death 6 interacting protein pseudogene
hsa:392232;;transient receptor potential cation channel, subfamily A, member 1 pseudogene
hsa:150967;PKI55;DKFZp434H1419
hsa:728619;ASB9P1;ankyrin repeat and SOCS box containing 9 pseudogene 1
hsa:649264;CES5AP1;carboxylesterase 5A pseudogene 1
hsa:5969;REG1P,REGL,RS;regenerating islet-derived 1 pseudogene
hsa:100101120;TTTY7B,NCRNA00215;testis-specific transcript, Y-linked 7B (non-protein coding)
hsa:22973;LAMB2P1,LAMB2L;laminin, beta 2 pseudogene 1
hsa:6043;SNORA63,E3,E3-2,RNE3,RNU107;small nucleolar RNA, H/ACA box 63
hsa:677806;SNORA20,ACA20;small nucleolar RNA, H/ACA box 20
hsa:652965;SNORA48,ACA48;small nucleolar RNA, H/ACA box 48
hsa:100113380;SNORD125;small nucleolar RNA, C/D box 125
hsa:654319;SNORA5A,ACA5,ACA5A/B/C;small nucleolar RNA, H/ACA box 5A
hsa:677833;SNORA54,ACA54;small nucleolar RNA, H/ACA box 54
hsa:692072;SNORD5,mgh28S-2410;small nucleolar RNA, C/D box 5
hsa:654320;SNORA8,ACA8;small nucleolar RNA, H/ACA box 8
hsa:677834;SNORA55,ACA55;small nucleolar RNA, H/ACA box 55
hsa:654321;SNORA75,U23;small nucleolar RNA, H/ACA box 75
hsa:654322;SNORA13,ACA13;small nucleolar RNA, H/ACA box 13
hsa:26797;SNORD52,RNU52,U52;small nucleolar RNA, C/D box 52
hsa:677837;SNORA60,ACA60;small nucleolar RNA, H/ACA box 60
hsa:677838;SNORA61,ACA61;small nucleolar RNA, H/ACA box 61
hsa:619498;SNORD74,U74,Z18;small nucleolar RNA, C/D box 74
hsa:26851;SNORD3B-1,RNU3A1,U3a,U3b1,U3b2;small nucleolar RNA, C/D box 3B-1
hsa:100113385;SNORD121B;small nucleolar RNA, C/D box 121B
hsa:780852;SNORD3B-2,U3-2B,U3b2;small nucleolar RNA, C/D box 3B-2
hsa:100113379;SNORD121A;small nucleolar RNA, C/D box 121A
hsa:26769;SNORD81,RNU104,U81,Z23;small nucleolar RNA, C/D box 81
hsa:26770;SNORD79,RNU103,U79,Z22;small nucleolar RNA, C/D box 79
hsa:26774;SNORD80,RNU100,U80,Z15;small nucleolar RNA, C/D box 80
hsa:677844;SNORA78,ACA64;small nucleolar RNA, H/ACA box 78
hsa:692195;SNORD75,U75;small nucleolar RNA, C/D box 75
hsa:677845;SNORA79,ACA65;small nucleolar RNA, H/ACA box 79
hsa:100113392;SNORD11B;small nucleolar RNA, C/D box 11B
hsa:692196;SNORD76,U76;small nucleolar RNA, C/D box 76
hsa:677882;SNORA59B,ACA59;small nucleolar RNA, H/ACA box 59B
hsa:692200;SNORD85,HBII-251;small nucleolar RNA, C/D box 85
hsa:100113378;SNORD119;small nucleolar RNA, C/D box 119
hsa:692197;SNORD77,U77;small nucleolar RNA, C/D box 77
hsa:692202;SNORD88A,HBII-180A;small nucleolar RNA, C/D box 88A
hsa:692198;SNORD78,U78;small nucleolar RNA, C/D box 78
hsa:692203;SNORD88B,HBII-180B;small nucleolar RNA, C/D box 88B
hsa:692204;SNORD88C,HBII-180C;small nucleolar RNA, C/D box 88C
hsa:26788;SNORD60,RNU60,U60;small nucleolar RNA, C/D box 60
hsa:692205;SNORD89,HBII-289;small nucleolar RNA, C/D box 89
hsa:26789;SNORD59A,RNU59,U59;small nucleolar RNA, C/D box 59A
hsa:26792;SNORD57,RNU57,U57;small nucleolar RNA, C/D box 57
hsa:692207;SNORD91A,HBII-296a;small nucleolar RNA, C/D box 91A
hsa:26793;SNORD56,RNU56,U56;small nucleolar RNA, C/D box 56
hsa:692208;SNORD91B,HBII-296b;small nucleolar RNA, C/D box 91B
hsa:26796;SNORD53,RNU53,U53;small nucleolar RNA, C/D box 53
hsa:692209;SNORD92,HBII-316;small nucleolar RNA, C/D box 92
hsa:692073;SNORA16A,ACA16;small nucleolar RNA, H/ACA box 16A
hsa:692210;SNORD93,HBII-336;small nucleolar RNA, C/D box 93
hsa:319139;SNORD56B,RNU56B;small nucleolar RNA, C/D box 56B
hsa:692211;SNORD98,HBII-419;small nucleolar RNA, C/D box 98
hsa:26800;SNORD49A,RNU49,U49,U49A;small nucleolar RNA, C/D box 49A
hsa:692212;SNORD99,HBII-420;small nucleolar RNA, C/D box 99
hsa:26802;SNORD47,RNU47,U47;small nucleolar RNA, C/D box 47
hsa:692214;SNORD111,HBII-82;small nucleolar RNA, C/D box 111
hsa:26804;SNORD45B,RNU45B,U45b;small nucleolar RNA, C/D box 45B
hsa:26805;SNORD45A,RNU45A,U45a;small nucleolar RNA, C/D box 45A
hsa:574040;SNORA6,ACA6;small nucleolar RNA, H/ACA box 6
hsa:26810;SNORD41,RNU41,U41;small nucleolar RNA, C/D box 41
hsa:6090;RNY5,Y5;RNA, Ro-associated Y5
hsa:26784;SNORA64,RNU64,U64;small nucleolar RNA, H/ACA box 64
hsa:574042;SNORA10,ACA10;small nucleolar RNA, H/ACA box 10
hsa:677824;SNORA43,ACA43;small nucleolar RNA, H/ACA box 43
hsa:677795;SNORA5B,ACA5b;small nucleolar RNA, H/ACA box 5B
hsa:677797;SNORA7B,ACA7B;small nucleolar RNA, H/ACA box 7B
hsa:677816;SNORA35,HBI-36;small nucleolar RNA, H/ACA box 35
hsa:100302738;RNU6-21;RNA, U6 small nuclear 21
hsa:677842;SNORA76,ACA62;small nucleolar RNA, H/ACA box 76
hsa:677846;SNORA80,ACA67;small nucleolar RNA, H/ACA box 80
hsa:100147744;RNU7-1,RNU7,U7.1;RNA, U7 small nuclear 1
hsa:100302741;RNU6-15;RNA, U6 small nuclear 15
hsa:100302742;RNU6-42;RNA, U6 small nuclear 42
hsa:100302743;SNORA80B,ACA67B;small nucleolar RNA, H/ACA box 80B
hsa:6080;SNORA73A,E1,E1-7,E1b,RNE1,RNU17A,U17A;small nucleolar RNA, H/ACA box 73A
hsa:692075;SNORD6,mgh28S-2412;small nucleolar RNA, C/D box 6
hsa:26791;SNORD58A,RNU58A,U58a;small nucleolar RNA, C/D box 58A
hsa:26790;SNORD58B,RNU58B,U58b;small nucleolar RNA, C/D box 58B
hsa:26771;SNORD102,RNU102,Z18;small nucleolar RNA, C/D box 102
hsa:26835;RNU4-1,RNU4A,RNU4B2,U4,U4BL;RNA, U4 small nuclear 1
hsa:619499;SNORA27,ACA27;small nucleolar RNA, H/ACA box 27
hsa:100124542;SNORA11E;small nucleolar RNA, H/ACA box 11E
hsa:692225;SNORD94,U94;small nucleolar RNA, C/D box 94
hsa:692226;SNORD96B,U96b;small nucleolar RNA, C/D box 96B
hsa:677818;SNORA36B,ACA36b;small nucleolar RNA, H/ACA box 36B
hsa:692227;SNORD104,U104;small nucleolar RNA, C/D box 104
hsa:319103;SNORD8,RNU6C,mgU6-53;small nucleolar RNA, C/D box 8
hsa:100126798;SNAR-A1,SNAR-A53113498;small ILF3/NF90-associated RNA A1
hsa:652966;SNORD10,mgU6-77;small nucleolar RNA, C/D box 10
hsa:100126780;SNAR-G1;small ILF3/NF90-associated RNA G1
hsa:100126799;SNAR-A2,SNAR-A53129250;small ILF3/NF90-associated RNA A2
hsa:100126781;SNAR-F;small ILF3/NF90-associated RNA F
hsa:100126800;SNAR-A12,SNAR-A53102747;small ILF3/NF90-associated RNA A12
hsa:684959;SNORA25,ACA25;small nucleolar RNA, H/ACA box 25
hsa:26766;RNU105C,E1-5,E1-6;RNA, U105C small nucleolar
hsa:26795;SNORD54,RNU54,U54;small nucleolar RNA, C/D box 54
hsa:619505;SNORA21,ACA21;small nucleolar RNA, H/ACA box 21
hsa:692053;SNORD9,mgU6-53B;small nucleolar RNA, C/D box 9
hsa:692106;SNORD65,HBII-135;small nucleolar RNA, C/D box 65
hsa:692157;SNORA16B,U98b;small nucleolar RNA, H/ACA box 16B
hsa:692158;SNORA57,U99;small nucleolar RNA, H/ACA box 57
hsa:692110;SNORD70,HBII-234;small nucleolar RNA, C/D box 70
hsa:6085;RNY3,HY3,Y3;RNA, Ro-associated Y3
hsa:692111;SNORD71,HBII-239,MIRN768,hsa-mir-768;small nucleolar RNA, C/D box 71
hsa:6086;RNY4,HY4,Y4;RNA, Ro-associated Y4
hsa:100169951;SNAR-A3;small ILF3/NF90-associated RNA A3
hsa:100169956;SNAR-A4;small ILF3/NF90-associated RNA A4
hsa:26815;SNORD36A,RNU36A,U36a;small nucleolar RNA, C/D box 36A
hsa:100169959;SNAR-A13;small ILF3/NF90-associated RNA A13
hsa:26863;RNU1-5,RNU1P1,RNU1P9,U1.15,U1P101,U1P15;RNA, U1 small nuclear 5
hsa:100170218;SNAR-C2;small ILF3/NF90-associated RNA C2
hsa:100170219;SNAR-C4;small ILF3/NF90-associated RNA C4
hsa:692223;SNORD97,U97;small nucleolar RNA, C/D box 97
hsa:100170223;SNAR-C5;small ILF3/NF90-associated RNA C5
hsa:267010;RNU12,RNU12-1,RNU12L,RNU12P,dJ222E13.7;RNA, U12 small nuclear
hsa:100170225;SNAR-C1;small ILF3/NF90-associated RNA C1
hsa:100170226;SNAR-C3;small ILF3/NF90-associated RNA C3
hsa:692107;SNORD66,HBII-142;small nucleolar RNA, C/D box 66
hsa:26834;RNU4-2,RNU4-1B,RNU4B1,RNU4C,U4A,U4b,U4c;RNA, U4 small nuclear 2
hsa:677828;SNORA47,HBI-115;small nucleolar RNA, H/ACA box 47
hsa:677832;SNORA53,ACA53;small nucleolar RNA, H/ACA box 53
hsa:9304;SNORD22,RNU22,U22;small nucleolar RNA, C/D box 22
hsa:9297;SNORD29,RNU29,U29;small nucleolar RNA, C/D box 29
hsa:6044;SNORA62,E2,E2-1,RNE2,RNU108;small nucleolar RNA, H/ACA box 62
hsa:9298;SNORD31,RNU31,U31;small nucleolar RNA, C/D box 31
hsa:9299;SNORD30,RNU30,U30;small nucleolar RNA, C/D box 30
hsa:9300;SNORD28,RNU28,U28;small nucleolar RNA, C/D box 28
hsa:9301;SNORD27,RNU27,U27;small nucleolar RNA, C/D box 27
hsa:9302;SNORD26,RNU26,U26;small nucleolar RNA, C/D box 26
hsa:8944;SNORD73A,RNU73,RNU73A,U73,U73a;small nucleolar RNA, C/D box 73A
hsa:9303;SNORD25,RNU25,U25;small nucleolar RNA, C/D box 25
hsa:26772;SNORD4B,RNU101B,Z17B;small nucleolar RNA, C/D box 4B
hsa:677885;SNORA59A,ACA59;small nucleolar RNA, H/ACA box 59A
hsa:26768;RNU105A,105A,E1c;RNA, U105A small nucleolar
hsa:85388;SNORD14B,RNU14B,U14,U14B;small nucleolar RNA, C/D box 14B
hsa:26773;SNORD4A,RNU101A,Z17A,mgh18S-121;small nucleolar RNA, C/D box 4A
hsa:26778;SNORA70,DXS648E,RNU70,U70;small nucleolar RNA, H/ACA box 70
hsa:727676;SNORD118,U8;small nucleolar RNA, C/D box 118
hsa:26780;SNORA68,RNU68,U68;small nucleolar RNA, H/ACA box 68
hsa:26824;RNU11,U11;RNA, U11 small nuclear
hsa:26808;SNORD42B,RNU42B,U42B;small nucleolar RNA, C/D box 42B
hsa:94162;SNORD38A,RNU38A,U38A;small nucleolar RNA, C/D box 38A
hsa:26809;SNORD42A,RNU42A,U42,U42A;small nucleolar RNA, C/D box 42A
hsa:94163;SNORD38B,RNU38B,U38B;small nucleolar RNA, C/D box 38B
hsa:26813;SNORD36C,RNU36C,U36c;small nucleolar RNA, C/D box 36C
hsa:692235;SNORD103B,U103B;small nucleolar RNA, C/D box 103B
hsa:26814;SNORD36B,RNU36B,U36b;small nucleolar RNA, C/D box 36B
hsa:26816;SNORD35A,RNU35,RNU35A,U35;small nucleolar RNA, C/D box 35A
hsa:619562;SNORA3,ACA3;small nucleolar RNA, H/ACA box 3
hsa:26817;SNORD34,RNU34,U34;small nucleolar RNA, C/D box 34
hsa:26775;SNORA72,RNU72,U72;small nucleolar RNA, H/ACA box 72
hsa:26818;SNORD33,RNU33,U33;small nucleolar RNA, C/D box 33
hsa:619563;SNORA7A,ACA7;small nucleolar RNA, H/ACA box 7A
hsa:26819;SNORD32A,RNU32,U32,U32A;small nucleolar RNA, C/D box 32A
hsa:619564;SNORD72,HBII-240;small nucleolar RNA, C/D box 72
hsa:26822;SNORD14A,RNU14,RNU14A,U14,U14-S13-5;small nucleolar RNA, C/D box 14A
hsa:619565;SNORA52,ACA52;small nucleolar RNA, H/ACA box 52
hsa:26811;SNORD55,RNU39,RNU55,SNORD39,U39,U55;small nucleolar RNA, C/D box 55
hsa:26820;SNORD24,RNU24,U24;small nucleolar RNA, C/D box 24
hsa:619567;SNORD2,R39B,SNR39B;small nucleolar RNA, C/D box 2
hsa:94161;SNORD46,RNU40,RNU46,U40,U46;small nucleolar RNA, C/D box 46
hsa:619568;SNORA4,ACA4;small nucleolar RNA, H/ACA box 4
hsa:114599;SNORD15B,RNU15B,U15B;small nucleolar RNA, C/D box 15B
hsa:26798;SNORD51,RNU51,U51;small nucleolar RNA, C/D box 51
hsa:619569;SNORA41,ACA41;small nucleolar RNA, H/ACA box 41
hsa:619570;SNORD95,U95;small nucleolar RNA, C/D box 95
hsa:619571;SNORD96A,U96A;small nucleolar RNA, C/D box 96A
hsa:26765;SNORD12C,E2,E2-1,E3,RNU106,SNORD106,U106;small nucleolar RNA, C/D box 12C
hsa:100151684;RNU6ATAC,RNU6ATAC1,U6ATAC;RNA, U6atac small nuclear (U12-dependent splicing)
hsa:100169952;SNAR-A5;small ILF3/NF90-associated RNA A5
hsa:100169953;SNAR-A7;small ILF3/NF90-associated RNA A7
hsa:100169954;SNAR-A11;small ILF3/NF90-associated RNA A11
hsa:100169955;SNAR-A9;small ILF3/NF90-associated RNA A9
hsa:100169957;SNAR-A6;small ILF3/NF90-associated RNA A6
hsa:100169958;SNAR-A8;small ILF3/NF90-associated RNA A8
hsa:100170216;SNAR-A10;small ILF3/NF90-associated RNA A10
hsa:100170217;SNAR-B2;small ILF3/NF90-associated RNA B2
hsa:606500;SNORD68,HBII-202;small nucleolar RNA, C/D box 68
hsa:692084;SNORD13,RNU13,U13;small nucleolar RNA, C/D box 13
hsa:100170224;SNAR-B1;small ILF3/NF90-associated RNA B1
hsa:692057;SNORD12,HBII-99,MIR1259,MIRN1259;small nucleolar RNA, C/D box 12
hsa:692085;SNORD45C,U45C;small nucleolar RNA, C/D box 45C
hsa:692058;SNORD11,HBII-95;small nucleolar RNA, C/D box 11
hsa:692087;SNORD49B,U49B;small nucleolar RNA, C/D box 49B
hsa:692063;SNORA32,ACA32;small nucleolar RNA, H/ACA box 32
hsa:692086;SNORD17,HBI-43;small nucleolar RNA, C/D box 17
hsa:780853;SNORD3C,U3-3;small nucleolar RNA, C/D box 3C
hsa:692090;SNORD59B,U59B;small nucleolar RNA, C/D box 59B
hsa:780854;SNORD3D,U3-4;small nucleolar RNA, C/D box 3D
hsa:692091;SNORD23,HBII-115;small nucleolar RNA, C/D box 23
hsa:26869;RNU1-3,HSD4,RNU1G3;RNA, U1 small nuclear 3
hsa:692092;SNORD32B,U32B;small nucleolar RNA, C/D box 32B
hsa:692093;SNORD62B,U62,U62B;small nucleolar RNA, C/D box 62B
hsa:677829;SNORA49,ACA49;small nucleolar RNA, H/ACA box 49
hsa:595097;SNORD16,U16;small nucleolar RNA, C/D box 16
hsa:26870;RNU1-2,RNU1C1,RNU1C2,U1C1,U1C21;RNA, U1 small nuclear 2
hsa:595098;SNORD18A,U18A;small nucleolar RNA, C/D box 18A
hsa:595099;SNORD18B,U18B;small nucleolar RNA, C/D box 18B
hsa:595100;SNORD18C,U18C;small nucleolar RNA, C/D box 18C
hsa:100170221;SNAR-H,snaR-2;small ILF3/NF90-associated RNA H
